ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),SMEG,12,235,Single,Italy,,600.0,580.0,,STH905,AS/NZS 2007.1:2005,3.5136,3.5,,, Normal eco,176.0,New Zealand,,27806,Superseded,12.6,Built-in,False,860.0,,2007-03-31,,Available,http://www.applico.co.nz/,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),SMEG,12,401,Single,Italy,,600.0,820.0,,ST663,AS/NZS 2007.1:2005,2.0153,2.0,,,Normal ECO,75.0,New Zealand,,27920,Superseded,14.3,Built-in,False,600.0,,2007-03-31,,Available,http://www.applico.co.nz/,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),TECHNIKA,12,339,Single,China,,580.0,850.0,,TBD4 S/S,AS/NZS 2007.1:2005,2.48,2.0,,,Normal,114.0,"Australia,New Zealand",,27841,Superseded,18.6,Freestanding,False,600.0,2011-08-17,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),TECHNIKA,12,339,Single,China,,580.0,850.0,,TBD4 W,AS/NZS 2007.1:2005,2.48,2.0,,,Normal,114.0,"Australia,New Zealand",,27841,Superseded,18.6,Freestanding,False,600.0,2011-08-17,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),TECHNIKA,14,286,Single,Turkey,,,,,TDX6,AS/NZS 2007.1:2005,3.3951,3.0,,,Normal,126.0,"Australia,New Zealand",,25898,Superseded,18.0,Freestanding,False,,2011-04-18,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),CONIA,12,383,Single,China,,580.0,850.0,,CDW1213,AS/NZS 2007.1:2005,2.14,2.0,,,Normal,140.0,"Australia,New Zealand",,24439,Superseded,15.3,Freestanding,True,600.0,2011-04-02,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),CONIA,12,383,Single,China,,580.0,850.0,,CDW1215,AS/NZS 2007.1:2005,2.14,2.0,,,Normal,150.0,"Australia,New Zealand",,24187,Superseded,16.0,Freestanding,True,600.0,2011-04-02,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),SMEG,12,279,Single,Italy,,600.0,580.0,,STO903,AS/NZS 2007.1:2005,3.0324,3.0,,, Normal eco,176.0,New Zealand,,27915,Superseded,14.7,Built-in,False,860.0,,2007-03-31,,Available,http://www.applico.co.nz/,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),SMEG,12,279,Single,Italy,,600.0,580.0,,STH903,AS/NZS 2007.1:2005,3.0324,3.0,,, Normal eco,176.0,New Zealand,,27915,Superseded,14.7,Built-in,False,860.0,,2007-03-31,,Available,http://www.applico.co.nz/,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),MIDEA,12,339,Single,China,,580.0,850.0,,WQP12-9011,AS/NZS 2007.1:2005,2.48,2.0,,,Normal,114.0,"Australia,New Zealand",,26053,Superseded,18.6,Freestanding,False,600.0,2011-05-15,2007-03-31,,Available,,
