ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model Name,Model No,N-Standard,New CEC,New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Type,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
AS/NZS 2442.2:2000/Amdt 2:2007,CANDY,5,True,Autosensing,Italy,,,Each individual model number listed above,GO W496D-AUS,AS/NZS 2442.1:1996,207,2.5199,2.5,Cottons Cupboard Dry Extra,215.0,"Australia,New Zealand",Superseded,59574,2.4,40.1,Condenser,,2016-07-14,2013-10-23,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,TUSCANY,5,False,Autosensing,China,,,Each individual model number listed above,TDY5,AS/NZS 2442.1:1996,225,1.9983,1.5,Energy Efficiency Labelling Tests,160.0,New Zealand,Approved,32769,3.97,,Vented,,,,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,NOUVEAU,5,False,Autosensing,China,,,Each individual model number listed above,NVDE5,AS/NZS 2442.1:1996,225,1.9983,1.5,Energy Efficiency Labelling Tests,160.0,New Zealand,Approved,34808,3.97,,Vented,,,,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,4.5,False,Autosensing,New Zealand,,,single,ED56,AS/NZS 2442.1:1996,202,2.02,2.0,Regular,135.0,"Australia,New Zealand",Approved,33797,3.503,,Vented,,,,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,4.5,False,Autosensing,New Zealand,,,single,ED57,AS/NZS 2442.1:1996,202,2.02,2.0,Regular,135.0,"Australia,New Zealand",Approved,33797,3.503,,Vented,,,,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,SMEG,2.5,,Timer,Italy,540.0,860.0,Each individual model number listed above,SWD1600,AS/NZS 2442.1:1996,84,3.85,3.5,Cotton,120.0,New Zealand,Approved,22155,1.951,,Condenser,595.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2442.2:2000/Amdt 2:2007,AWARD,6,False,Autosensing,China,570.0,850.0,Each individual model number listed above,T55W,AS/NZS 2442.1:1996,266,2.09,2.0,Cottons Heavy program,248.0,New Zealand,Approved,58860,4.69,,Vented,595.0,,,,Available,,http://www.awardappliances.co.nz
AS/NZS 2442.2:2000/Amdt 2:2007,AWARD,6,,Timer,,590.0,800.0,single,T767,AS/NZS 2442.1:1996,294,1.483,1.0,TIMED CYCLE,120.0,New Zealand,Approved,16601,4.67,,Condenser,590.0,,,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,AWARD,6,,Timer,,590.0,800.0,single,T514 T447,AS/NZS 2442.1:1996,294,1.483,1.0,TIMED CYCLE,120.0,New Zealand,Approved,16601,4.67,,Condenser,590.0,,,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,TRIESTE,4,False,Timer,China,,,Each individual model number listed above,TR-GYJ40-68,AS/NZS 2442.1:1996,180,2.0068,2.0,Strong Dry Programme,200.0,New Zealand,Approved,45042,3.116,,Vented,,,,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,TRIESTE,6,False,Autosensing,China,,,Each individual model number listed above,TR-TD60-101W,AS/NZS 2442.1:1996,262,2.1613,2.0,Cotton Program,204.0,New Zealand,Approved,45232,4.789,,Vented,,,,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,BOSCH,10,False,Autosensing,United States,,,Each individual model number listed above,WTB76550EU,AS/NZS 2442.1:1996,447,2.06,2.0,Cupboar Dry,180.0,New Zealand,Approved,35844,7.999,,Vented,,,,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,Tuscany,6,False,Autosensing,China,870.0,650.0,Each individual model number listed above,T-GDZ60-09E,AS/NZS 2442.1:1996,265,2.0,2.0,Extra Dry Full Load,230.0,New Zealand,Approved,53493,4.702,,Vented,600.0,,,,Available,,
AS/NZS 2442.2:2000/Amdt 2:2007,BAUMATIC,4,False,Timer,China,,,Each individual model number listed above,BK4CD,AS/NZS 2442.1:1996,180,2.0068,2.0,Strong Heat,200.0,New Zealand,Approved,51370,3.115,,Vented,,,,,Unavailable,http://www.applico.co.nz/,http://www.applico.co.nz
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,6.5,False,Autosensing,Sweden,595.0,850.0,Each individual model number listed above,T794C,AS/NZS 2442.1:1996/Amdt 4:2006,292,2.01736018503,2.0,AUTO NORMAL DRY,140.0,New Zealand,Approved,66720,5.112,0.0,Condenser,595.0,,,,Unavailable,,http://www.asko.org.nz
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,6.5,False,Autosensing,Sweden,595.0,850.0,Each individual model number listed above,T784C,AS/NZS 2442.1:1996/Amdt 4:2006,292,2.01736018503,2.0,AUTO NORMAL DRY,140.0,New Zealand,Approved,66720,5.112,0.0,Condenser,595.0,,,,Unavailable,,http://www.asko.org.nz
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,6.5,False,Autosensing,Sweden,595.0,850.0,Each individual model number listed above,T754C,AS/NZS 2442.1:1996/Amdt 4:2006,292,2.01736018503,2.0,AUTO NORMAL DRY,140.0,New Zealand,Approved,66720,5.112,0.0,Condenser,595.0,,,,Unavailable,,http://www.asko.org.nz
AS/NZS 2442.2:2000/Amdt 2:2007,TRIESTE,6,False,Autosensing,"China,China",870.0,650.0,,ED-D6KG,AS/NZS 2442.1:1996/Amdt 4:2006,265,2.12184812783,2.0,Extra Dry Full Load,230.0,"Fiji,New Zealand",Approved,66449,4.702,,Vented,600.0,,,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,4.5,False,Timer,New Zealand,,,Each individual model number listed above,AD55,AS/NZS 2442.1:1996,241,0.94,1.0,Regular,145.0,"Australia,New Zealand",Approved,22650,3.541,,Vented,,,,,Unavailable,http://www.fisherpaykel.co.nz/,
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,6,False,Autosensing,Sweden,600.0,850.0,,TDC111V,AS/NZS 2442.1:1996/Amdt 4:2006,270,2.00683301501,2.0,AUTO NORMAL DRY,115.0,New Zealand,Approved,72593,4.831,,Vented,595.0,2113-06-06,,,Available,,http://www.asko.org.nz
AS/NZS 2442.2:2000/Amdt 2:2007,CANDY,5,True,Autosensing,Italy,,,Each individual model number listed above,GO W496D-01S,AS/NZS 2442.1:1996,207,2.5199,2.5,Cottons Cupboard Dry Extra,215.0,"Australia,New Zealand",Superseded,56379,2.4,40.1,Condenser,,2016-04-19,2013-10-23,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,Acqua,6,False,Autosensing,China,,,Each individual model number listed above,GY-ESD60W,AS/NZS 2442.1:1996,265,2.0,2.0,Extra Dry / Full Load,230.0,Australia,Superseded,56828,4.702,,Vented,,2016-05-22,2013-10-23,,Unavailable,,http://www.jalmacsales.com
AS/NZS 2442.2:2000/Amdt 2:2007,Galanz,6,False,Timer,China,600.0,860.0,single,DV-60Q2ME,AS/NZS 2442.1:1996,293,1.50381,1.5,cottons-heavy,240.0,Australia,Superseded,48249,4.691,,Vented,600.0,2015-05-26,2013-10-23,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,Galanz,6,False,Timer,China,600.0,860.0,single,DV-60Q3ME,AS/NZS 2442.1:1996,293,1.50381,1.5,cottons-heavy,240.0,Australia,Superseded,48249,4.691,,Vented,600.0,2015-05-26,2013-10-23,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,7,False,Autosensing,Sweden,595.0,850.0,Each individual model number listed above,T784HP,AS/NZS 2442.1:1996/Amdt 4:2006,164,6.02301877883,6.0,AUTO NORMAL DRY,200.0,New Zealand,Approved,66721,5.529,0.0,Condenser,595.0,,,,Unavailable,,http://www.asko.org.nz
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,7,False,Autosensing,Sweden,595.0,850.0,Each individual model number listed above,T754HP,AS/NZS 2442.1:1996/Amdt 4:2006,164,6.02301877883,6.0,AUTO NORMAL DRY,200.0,New Zealand,Approved,66721,5.529,0.0,Condenser,595.0,,,,Unavailable,,http://www.asko.org.nz
AS/NZS 2442.2:2000/Amdt 2:2007,Aspira,4,False,Timer,China,,,,DY40,AS/NZS 2442.1:1996/Amdt 4:2006,230,0.498562816633,1.0,200 min Warm,120.0,New Zealand,Approved,79327,3.11,,Vented,,2114-03-05,,Single product class,Available,http://www.fisherpaykel.co.nz/,
AS/NZS 2442.2:2000/Amdt 2:2007,Technika,4,True,Timer,Italy,,,,TWDC84,AS/NZS 2442.1:1996/Amdt 4:2006,153,3.00683301501,3.0,"Dry program, 190 minutes, 1300 RPM",173.0,"Australia,New Zealand",Superseded,68227,3.923,71.2,Condenser,,2017-09-25,2013-10-23,,Unavailable,http://www.jpindustries.com/,http://www.technika.com.au/
