Record ID,Status,Brand Name,Model Number,Selling Countries,Manufacturing Countries,Screen Size,Screen Technology,Comparative Energy Consumption,Active Standby Power,Star Rating Index,Star Rating,Product Website,Representative Brand URL
73856,Approved,SAMSUNG ELECTRONICS,S27C570H,"Australia,Fiji,New Zealand","""Korea, Republic of""",68.506,LCD (LED),87.0,0.27,5.77963123296,5.5,,http://www.samsung.com.au
73853,Approved,SAMSUNG ELECTRONICS,S24C370HL,"Australia,Fiji,New Zealand","""Korea, Republic of""",59.774,LCD (LED),101.0,0.3,4.23719593711,4.0,,http://www.samsung.com.au
73851,Approved,PHILIPS,246V5L,"Australia,New Zealand",Taiwan,60.965,LCD (LED),92.0,0.5,4.77784031985,4.5,,http://www.philips.com/
73843,Approved,PHILIPS,19S4L,"Australia,New Zealand",Taiwan,48.142,LCD (LED),64.0,0.25,5.18121376305,5.0,,http://www.philips.com/
73842,Approved,PHILIPS,19B4L,"Australia,New Zealand",Taiwan,48.193,LCD (LED),64.0,0.25,5.41020866551,5.0,,http://www.philips.com/
73835,Approved,SAMSUNG ELECTRONICS,S24C350HL,"Australia,Fiji,New Zealand","""Korea, Republic of""",59.774,LCD (LED),101.0,0.3,4.23719593711,4.0,,http://www.samsung.com.au
73830,Approved,SAMSUNG ELECTRONICS,S27C750P,"Australia,Fiji,New Zealand","""Korea, Republic of""",68.506,LCD (LED),128.0,0.2,4.04925568327,4.0,,http://www.samsung.com.au
73828,Approved,SAMSUNG ELECTRONICS,S27C450B,"Australia,Fiji,New Zealand","""Korea, Republic of""",68.506,LCD (LED),138.0,0.21,3.71214793001,3.5,,http://www.samsung.com.au
73819,Approved,HP,Z23i,"Australia,Fiji,New Zealand",China,58.421,LCD,73.0,0.28,5.55285712522,5.5,http://www.tuv.com/,
73779,Approved,PHILIPS,298P4Q,"Australia,New Zealand",Taiwan,75.928,LCD (LED),176.0,0.5,2.84282709672,2.5,,http://www.philips.com/
73777,Approved,PHILIPS,273P3Q,"Australia,New Zealand",Taiwan,68.565,LCD (LED),121.0,0.3,4.30610970544,4.0,,http://www.philips.com/
73776,Approved,PHILIPS,273P3L,"Australia,New Zealand",Taiwan,68.565,LCD (LED),105.0,0.23,4.94171039658,4.5,,http://www.philips.com/
73773,Approved,PHILIPS,271P4Q,"Australia,New Zealand",Taiwan,68.566,LCD (LED),116.0,0.23,4.49532607557,4.0,,http://www.philips.com/
73755,Approved,SAMSUNG ELECTRONICS,S22C450B,"Australia,Fiji,New Zealand","""Korea, Republic of""",54.626,LCD (LED),98.0,0.11,3.83673477909,3.5,,http://www.samsung.com.au
