Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL
57704,Continental,24A2C-D,"Australia,New Zealand",China,60.0,1539.9,LCD,0.38,0.0,0.36,32.5,6.0,6.456,121.0,Approved,2016-05-21,,Single product class,Unavailable,4.89298050711,,
57638,TCL,L40E5200F,Australia,China,101.6,4411.6,LCD (LED),0.26,0.0,0.0,65.8,6.0,6.725,260.0,Approved,2016-06-06,,Single product class,Unavailable,5.1632415823,http://www.tclelectronics.com.au/,http://www.tclelectronics.com.au
57573,SAMSUNG ELECTRONICS,PS64D8000FV,"Australia,Fiji,New Zealand",Malaysia,162.6,11293.5,Plasma,0.22,0.0,0.0,301.0,4.0,4.083,1100.0,Approved,2016-04-27,,Single product class,Unavailable,2.52153780641,,http://www.samsung.com.au
57059,SAMSUNG ELECTRONICS,UA22D5000NM,"Australia,Fiji,New Zealand",Malaysia,54.7,1308.3,LCD (LED),0.15,0.0,0.0,28.0,6.0,6.688,103.0,Approved,2016-04-10,,Single product class,Unavailable,5.12554353258,,http://www.samsung.com.au
56754,SAMSUNG ELECTRONICS,UA40D5000PM,"Australia,Fiji,New Zealand",Malaysia,101.6,4412.3,LCD (LED),0.2,0.0,0.0,56.0,7.0,7.769,206.0,Approved,2016-04-11,,Single product class,Unavailable,6.20715437916,,http://www.samsung.com.au
56750,SAMSUNG ELECTRONICS,PS59D8000FM,"Australia,Fiji,New Zealand",Malaysia,150.0,9613.8,Plasma,0.22,0.0,0.0,262.0,4.0,4.027,958.0,Approved,2016-04-11,,Single product class,Unavailable,2.46475517913,,http://www.samsung.com.au
56739,SAMSUNG ELECTRONICS,PS51D550C1M,"Australia,Fiji,New Zealand",Malaysia,128.8,7065.0,Plasma,0.32,0.0,0.0,147.0,5.0,5.332,539.0,Approved,2016-04-11,,Single product class,Unavailable,3.77001823194,,http://www.samsung.com.au
56736,SAMSUNG ELECTRONICS,PS51D6900DM,"Australia,Fiji,New Zealand",Malaysia,128.8,7065.0,Plasma,0.22,0.0,0.0,175.0,4.5,4.562,640.0,Approved,2016-04-11,,Single product class,Unavailable,3.00032265063,,http://www.samsung.com.au
56733,SAMSUNG ELECTRONICS,LA46D550K7M,"Australia,Fiji,New Zealand",Malaysia,116.8,5833.1,LCD,0.17,0.0,0.0,95.0,6.0,6.519,348.0,Approved,2016-04-11,,Single product class,Unavailable,4.95650505892,,http://www.samsung.com.au
56731,SAMSUNG ELECTRONICS,LA40D550K7M,"Australia,Fiji,New Zealand",Malaysia,101.6,4412.3,LCD,0.15,0.0,0.0,95.0,5.0,5.42,348.0,Approved,2016-04-11,,Single product class,Unavailable,3.85742790086,,http://www.samsung.com.au
56729,SAMSUNG ELECTRONICS,LA32D550K7M,"Australia,Fiji,New Zealand",Malaysia,80.1,2754.1,LCD,0.16,0.0,0.0,56.0,6.0,6.012,206.0,Approved,2016-04-11,,Single product class,Unavailable,4.44984964664,,http://www.samsung.com.au
56726,SAMSUNG ELECTRONICS,LA32D400E1M,"Australia,Fiji,New Zealand",Malaysia,80.1,2743.1,LCD,0.19,0.0,0.0,53.0,6.0,6.244,195.0,Approved,2016-04-11,,Single product class,Unavailable,4.68147846191,,http://www.samsung.com.au
56720,SAMSUNG ELECTRONICS,LA22D400E1M,"Australia,Fiji,New Zealand",Malaysia,54.7,1308.3,LCD,0.18,0.0,0.0,32.0,6.0,6.079,118.0,Approved,2016-04-11,,Single product class,Unavailable,4.51626920923,,http://www.samsung.com.au
52558,SANSUI,LE32HWA,"Australia,Fiji,New Zealand",China,81.28,2765.0,LCD,1.04,0.0,0.0,68.44,5.0,5.052,256.0,Approved,2016-02-15,,Single product class,Available,3.49015285628,,
52558,SANSUI,LE32HWB,"Australia,Fiji,New Zealand",China,81.28,2765.0,LCD,1.04,0.0,0.0,68.44,5.0,5.052,256.0,Approved,2016-02-15,,Single product class,Available,3.49015285628,,
52558,SANSUI,LE32HWD,"Australia,Fiji,New Zealand",China,81.28,2765.0,LCD,1.04,0.0,0.0,68.44,5.0,5.052,256.0,Approved,2016-02-15,,Single product class,Available,3.49015285628,,
52558,SANSUI,LE32HWF,"Australia,Fiji,New Zealand",China,81.28,2765.0,LCD,1.04,0.0,0.0,68.44,5.0,5.052,256.0,Approved,2016-02-15,,Single product class,Available,3.49015285628,,
52558,SANSUI,LE32HWG,"Australia,Fiji,New Zealand",China,81.28,2765.0,LCD,1.04,0.0,0.0,68.44,5.0,5.052,256.0,Approved,2016-02-15,,Single product class,Available,3.49015285628,,
50573,SANSUI,LCD26HWA,"Australia,Fiji,New Zealand",China,66.04,1868.8,LCD,1.2,0.0,0.0,65.3,3.5,3.908,245.0,Approved,2015-04-22,,Single product class,Available,2.34559167814,,
50573,SANSUI,LCD26HWB,"Australia,Fiji,New Zealand",China,66.04,1868.8,LCD,1.2,0.0,0.0,65.3,3.5,3.908,245.0,Approved,2015-04-22,,Single product class,Available,2.34559167814,,
50628,Teco,TA24NAPR,Australia,China,59.9,1527.2,LCD (LED),0.71,0.0,0.0,36.71,5.5,5.809,139.0,Approved,2015-04-13,,Single product class,Unavailable,4.24599517549,http://www.teco.com.au/,http://www.teco.com.au/
48591,DAIJITSU,LCD32HWA,"Australia,Fiji,New Zealand",China,81.3,2765.0,LCD,0.85,0.0,0.0,86.1,4.0,4.067,319.0,Approved,2015-01-24,,Single product class,Available,2.50417922178,,
